num_animal;serie;traitement;lot;poids_debut;poids_fin;GMQ_poids;GMQ_1er_tiers;GMQ_3eme_tiers;IC;eff_NRJ;eff_prot;poids_carcasse;code_confo;etat;gras_de_bassin;gras_de_rognons ;gras_de_parage;gras_total;gras_elimines;note_persille;note_marbre;note_couleur_gras;pH;note_couleur_viande;L_noix;a_etoile;b_etoile;C_etoile;h_etoile;prct_muscle_carcasse;prct_gras_carcasse;prct_os_carcasse;lipid;TG_tnr;DG1_DG2_tnr;CL_tnr;AGL_tnr;PL_tnr;lipid_HPLC;PE_PI_tnr;PC_tnr;TG_prct;DG1_DG2_prct;CL_prct;AGL_prct;PL_prct;C14_0;C16_0;C18_0;AGS ;C18_1_cis9;AGMI_cis;C18_1_tr9;C18_1tr10;C18_1tr11;AGMI_trans;AGMI;LA;C20_4n_6;tot_n_6;ALA;EPA;DPA;tot_n_3_LC;tot_n_3 ;CLA;CLA_tot;AGPI_tot;ratio_n6_n3 ;ratio_LA_ALA;AGPI_sur_AGS;ratio_C16_C18_0;intensite_tendrete;intensite_jutosite;intensite_flaveur;sucree;acide;amere;metallique;rance;gras;poisson;sang;satisfaction_generale;MQ4
1631;2;L;2;433;616;1.79;1.88;2.18;6.14;46.01;0.76;365;10;3;1.3;6.4;2.9;10.6;2.9;3;0;1;5.57;1;46.9;33.28;19.21;38.42632561;0.523503737;73.7;12.6;13;1.441;0.407;0.035;0.023;0.003;0.386;0.853;0.09;0.296;47.68;4.05;2.69;0.33;45.26;2.681;21.389;12.337;39.61;25.676;32.95;0.374;4.2514;1.0262;7.33;40.28;7.727;1.936;13.101;3.435;0.758;1.115;2.071;5.506;0.373;0.373;18.98;2.38;2.25;0.479171926;1.733727811;58.6;33.7;40.5;4;5.8;2.1;18.5;4.6;10.2;6.2;7.1;28.2;41.483
3996;1;LC;3;507;674;1.64;1.82;1.38;6.61;44.07;0.84;397.5;11;3;1.4;6.6;2.2;10.2;2.57;5;1;1;5.49;2;48.79;29.78;15.85;33.73530643;0.489102924;75.8;10.9;12.8;2.467;0.937;0.054;0.032;0.005;0.548;1.576;0.184;0.364;59.44;3.43;2.05;0.31;34.77;1.948;20.925;14.49;41.1;29.617;35.83;0.528;6.10976;1.96176;9.76;45.59;5.313;1.066;8.659;1.763;0.435;0.623;1.153;2.916;0.555;0.626;12.2;2.97;3.01;0.296836983;1.444099379;52.4;36.6;42.5;8.5;0;0;4;0;16.6;0;12.5;39.4;44.075
4067;1;T;1;594;695;0.99;0;1.57;7.03;45.48;0.91;417;11;3;1;10.6;3.4;15;3.6;6;1;1;5.48;2;48.3;29.34;16.26;33.54434677;0.506056114;72.5;14.3;12.6;3.068;1.299;0.059;0.038;0.006;0.592;1.994;0.22;0.372;65.14;2.94;1.92;0.3;29.7;2.435;24.92;13.079;43.46;38.025;45.51;0.277;1.98744;0.71344;3.64;49.15;4.01;1.044;5.88;0.339;0.091;0.299;0.56;0.899;0.3;0.3;7.079;6.54;11.84;0.162885412;1.905344445;62.2;46.5;54.2;12.5;7.6;0;1.5;1.9;7.1;0;6.5;48.5;54.365
4070;1;LC;3;648;752;1.02;0.79;0.97;6.61;44.07;0.84;455;9;3;1.4;14.3;1.7;17.4;3.82;6;1;1;5.49;2;49.94;31.06;17.54;35.67036866;0.51406931;73.3;13.7;12.4;3.73;1.656;0.073;0.046;0.007;0.849;2.632;0.258;0.591;62.93;2.78;1.76;0.27;32.26;2.31;22.152;12.834;40.5;38.765;46.61;0.366;2.7387;0.9741;5.1;51.71;3.436;0.772;5.559;0.77;0.088;0.287;0.374;1.144;0.416;0.487;7.19;4.86;4.46;0.177530864;1.726040206;55.5;33.7;47.7;9.1;0;8;6.6;4.7;5.7;0;6.2;35.8;45.635
4072;1;LC;3;580;712;1.3;1.21;1.08;6.61;44.07;0.84;431.5;12;3;0.3;9.2;1.8;11.3;2.62;5;1;1;5.5;3;48.9;29.93;16.65;34.24948759;0.507665687;73.6;13.3;12.5;2.507;1.022;0.051;0.033;0.005;0.525;1.636;0.186;0.339;62.47;3.12;2;0.3;32.11;2.207;23.534;13.191;41.99;34.694;42.09;0.381;3.24416;0.78364;5.48;47.57;4.877;1.216;7.758;1.063;0.147;0.385;0.532;1.595;0.335;0.419;9.773;4.86;4.59;0.232745892;1.784095216;57.1;48.2;52.3;16;2.4;0.8;3.5;2;9.5;0;7.6;45.7;51.434
4084;1;P;4;636;750;1.12;0.53;1.28;7.89;45.14;0.92;462;11;3;0.6;13.5;3.8;17.9;3.87;5;2;1;5.52;2;50.27;28.63;15.85;32.72459931;0.505614474;73;14;12.4;2.7;1.159;0.059;0.035;0.005;0.6;1.858;0.198;0.403;62.35;3.17;1.89;0.28;32.31;3.151;27.044;13.501;47.25;34.326;42.43;0.223;0.7625;0.7775;2.5;44.92;4.012;1.333;6.409;0.272;0.087;0.353;0.44;0.712;0.284;0.284;7.405;9;14.76;0.156719577;2.003110881;37.4;32.9;50.3;8.5;5;5.2;3.5;2.8;8.1;0;9;26.8;38.707
4091;1;P;4;529;624;0.93;0.59;0.93;7.89;45.14;0.92;392;12;2;0.6;5.5;1;7.1;1.81;3;0;1;5.51;3;46.01;27.59;14.44;31.14035485;0.482174647;76.6;10.3;12.8;1.404;0.401;0.03;0.023;0.003;0.428;0.885;0.081;0.347;45.27;3.44;2.65;0.31;48.33;1.942;23.683;14.659;43.55;31.266;38.83;0.322;1.44412;0.63832;3.16;41.99;7.903;2.787;12.199;0.401;0.177;0.537;0.713;1.114;0.24;0.24;13.553;10.95;19.72;0.311205511;1.615594515;54.6;33.7;51.8;10.1;8.8;3.8;0.7;1;11.7;2.2;9.8;36.8;47.21
4105;1;L;2;531;646;1.13;1;1.11;7.11;48.35;0.89;382.5;11;3;1;8.6;1.5;11.1;2.9;5;1;1;5.52;3;44.36;25.98;13.83;29.43177365;0.489177856;76.9;9.9;12.9;1.703;0.501;0.034;0.024;0.003;0.442;1.005;0.122;0.32;49.92;3.34;2.41;0.33;44;1.97;22.065;16.406;43.36;31.168;37.22;0.266;1.50508;0.85892;3.94;41.15;7.128;2.288;10.723;2.315;0.307;0.799;1.32;3.634;0.289;0.289;14.646;2.95;3.08;0.337776753;1.34493478;29.1;28.7;40.9;3.5;2;8.4;8;0;7;0;4;28.2;33.171
8565;1;T;1;531;672;1.38;0.21;1.83;7.03;45.48;0.91;392;10;3;0.9;7.7;1.8;10.4;2.65;3;1;1;5.45;2;50.72;31.6;17.68;36.20970036;0.510102787;74.2;12.4;12.8;1.747;0.554;0.036;0.025;0.003;0.47;1.089;0.126;0.344;50.88;3.31;2.32;0.31;43.18;1.881;23.636;13.084;42.02;33.928;40.85;0.181;2.47456;0.75295;4.07;44.93;6.605;1.966;9.677;0.728;0.453;0.84;1.648;2.376;0.276;0.276;12.329;4.07;9.08;0.293407901;1.806481198;66.3;30.9;33.4;10;3;0.3;5.8;3.7;12.4;6.3;9.6;30.3;41.551
8737;1;L;2;543;708;1.62;1.97;1.43;7.11;48.35;0.89;418.5;11;3;2.1;14.1;3.5;19.7;4.71;5;1;2;5.47;2;41.49;30.53;15.9;34.42224426;0.48014819;74.6;12.2;12.6;2.496;0.934;0.05;0.032;0.005;0.565;1.586;0.187;0.378;58.91;3.16;2;0.31;35.62;3.037;21.825;12.608;41.16;31.775;39.83;0.39;2.46507;2.02511;6.47;46.31;4.545;1.047;8.223;2.066;0.366;0.614;0.98;3.047;0.765;0.765;12.035;2.7;2.2;0.29239553;1.731043782;36.1;26.5;41.2;0.4;1.5;4.6;0.9;7;8.9;3.5;11.6;26.3;34.565
8743;1;P;4;580;727;1.44;1.38;1.65;7.89;45.14;0.92;436.5;9;3;1.3;8.1;3.3;12.7;2.91;4;1;1;5.43;2;45.71;31.03;16.77;35.27171388;0.495477525;73.7;13.1;12.5;1.927;0.65;0.04;0.027;0.007;0.502;1.227;0.135;0.367;53.01;3.27;2.19;0.61;40.92;2.011;23.312;16.901;46.38;28.527;34.4;0.333;2.91718;2.2081;6.22;40.62;6.236;1.664;9.413;0.787;0.509;0.976;1.622;2.41;0.479;0.479;12.301;3.91;7.92;0.265222078;1.379326667;44.4;33.3;31.2;3;0;7.6;9.8;0.4;3.1;0;2.3;31.8;35.166
9228;1;P;4;588;740;1.49;1.38;1.74;7.89;45.14;0.92;433.5;11;3;0.6;6.8;1.6;9;2.08;4;0;2;5.46;2;46.56;34.96;19.4;39.98201596;0.506612643;74.7;12.1;12.5;1.558;0.454;0.029;0.023;0.003;0.441;0.95;0.076;0.365;47.74;3.09;2.43;0.32;46.42;1.424;21.467;14.07;40.9;31.355;38.45;0.275;2.54012;1.57872;5.06;43.5;6.903;2.551;11.337;0.79;0.62;1.256;2.014;2.805;0.517;0.517;14.658;4.04;8.73;0.358386308;1.5257285;58.7;37.4;42.5;13.2;11.3;7.3;9.4;7.2;10.8;5.5;5.2;41.5;46.522
9528;1;L;2;593;751;1.55;1.21;1.75;7.11;48.35;0.89;452.5;11;3;0.9;11.4;3.6;15.9;3.51;5;1;2;5.48;3;44.93;34.38;17.91;38.7653518;0.480260826;74.2;12.8;12.4;1.953;0.578;0.043;0.026;0.004;0.498;1.149;0.145;0.353;50.3;3.73;2.3;0.33;43.34;2.239;21.645;12.883;40.25;30.762;38.33;0.281;3.74402;1.23046;6.58;44.91;6.316;1.06;9.551;2.604;0.422;0.762;1.184;3.788;0.455;0.455;13.794;2.52;2.43;0.342708075;1.68012109;57.6;38.9;42.7;14.7;3;2.9;2.8;0;19.4;2.4;6.5;35.4;44.457
9530;1;T;1;576;744;1.65;2.06;1.36;7.03;45.48;0.91;439.5;10;3;0.6;7.2;2.7;10.5;2.39;4;1;2;5.48;3;44.91;32.82;17.87;37.36963072;0.498599242;74.3;12.7;12.5;1.866;0.569;0.036;0.028;0.028;0.497;1.158;0.139;0.358;49.09;3.13;2.41;2.44;42.92;2.107;22.898;13.7;42.78;30.573;37.51;0.183;3.9114;1.4514;6.15;43.65;7.266;1.569;10.184;0.824;0.48;0.906;1.53;2.353;0.425;0.425;12.962;4.33;8.82;0.302992052;1.671386861;62.6;42.6;46.8;3.3;9.7;4.5;12.4;0.8;6.1;0;7.3;43.2;49.94
9532;1;L;2;646;770;1.22;1.35;1.17;7.11;48.35;0.89;463;11;3;1.9;11.1;3.5;16.5;3.56;6;1;2;5.48;3;48.64;33.06;18.73;37.9970591;0.515457419;72.9;14.2;12.4;2.314;0.779;0.049;0.029;0.005;0.597;1.458;0.166;0.431;53.4;3.35;2.01;0.31;40.94;2.236;22.385;11.796;39.51;32.942;40.42;0.251;3.66752;1.37532;6.28;46.69;5.427;1.06;8.879;2.231;0.393;0.593;1.037;3.269;0.588;0.588;12.736;2.72;2.43;0.322348772;1.897677179;60.9;53.3;55.8;13.9;2.9;3.8;5;2.3;11;2.8;12.3;49.2;55.082
9927;1;LC;3;607;796;1.85;1.62;1.74;6.61;44.07;0.84;454.5;10;3;2.1;12.8;2.8;17.7;3.89;5;1;2;5.44;3;44.56;31.73;16.83;35.91715189;0.487680844;73.5;13.4;12.4;2.562;0.966;0.055;0.033;0.005;0.579;1.638;0.19;0.389;58.97;3.34;2.01;0.31;35.36;2.147;20.577;14.258;40.68;33.277;39.85;0.386;4.92474;1.13588;7.78;47.63;4.82;0.897;7.717;1.563;0.309;0.622;0.931;2.494;0.483;0.577;10.788;3.09;3.08;0.26519174;1.443189788;64.7;52.3;49.6;14.3;1.7;3.3;6.7;0;6;2.1;4.8;49.2;53.812
